Reporting_Year / Année,NPRI_ID / No_INRP,Number of employees,Company_Name / Dénomination_sociale_de_l'entreprise,Facility_Name / Installation,NAICS / Code_SCIAN,NAICS Title / Titre Code_SCIAN,PROVINCE,City,Latitude,Longitude,CAS_Number / No_CAS,Substance Name (English) / Nom de substance (Anglais),Units / Unités,Estimation_Method / Méthode_d’estimation,Release to Air - Fugitive,Release to Air - Other Non-Point ,Release to Air - Road dust  ,Release to Air - Spills ,Release to Air - Stack / Point  ,Release to Air - Storage / Handling ,Releases to Land - Leaks,Releases to Land - Other ,Releases to Land - Spills ,Releases to Water Bodies - Direct Discharges ,Releases to Water Bodies - Leaks,Releases to Water Bodies - Spills ,Sum of release to all media (<1tonne),Off-site Disposal - Land Treatment,Off-site Disposal - Landfill,Off-site Disposal - Storage,Off-site Disposal - Tailings Management,Off-site Disposal - Underground Injection,Off-site Disposal - Waste Rock management,Off-site Transfers for Recycling - Energy Recovery,Off-site Transfers for Recycling - Other,Off-site Transfers for Recycling - Recovery of Acids and Bases,Off-site Transfers for Recycling - Recovery of Catalysts,Off-site Transfers for Recycling - Recovery of Inorganic Materials (not metals),Off-site Transfers for Recycling - Recovery of Metals and Metal Compounds,Off-site Transfers for Recycling - Recovery of Organic Substances (not solvents),Off-site Transfers for Recycling - Recovery of Pollution Abatement Residues,Off-site Transfers for Recycling - Recovery of Solvents,Off-site Transfers for Recycling - Refining or Re-use of Used Oil,Off-site Transfers for Treatment Prior to Final Disposal - Biological Treatment,Off-site Transfers for Treatment Prior to Final Disposal - Chemical Treatment,Off-site Transfers for Treatment Prior to Final Disposal - Incineration / Thermal,Off-site Transfers for Treatment Prior to Final Disposal - Municipal Sewage Treatment Plant,Off-site Transfers for Treatment Prior to Final Disposal - Physical Treatment,On-site Disposal - Land Treatment,On-site Disposal - Landfill,On-site Disposal - Tailings Management,On-site Disposal - Underground Injection,On-site Disposal - Waste Rock management
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,10049-04-4,Chlorine dioxide,tonnes,M - Monitoring or Direct Measurement,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,67-56-1,Methanol,tonnes,E - Emission Factor,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,67-66-3,Chloroform,tonnes,M - Monitoring or Direct Measurement,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,75-07-0,Acetaldehyde,tonnes,E - Emission Factor,,,,,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,7647-01-0,Hydrochloric acid,tonnes,M - Monitoring or Direct Measurement,,,,,0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,7664-38-2,Phosphoric acid,tonnes,M - Monitoring or Direct Measurement,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,7664-93-9,Sulphuric acid,tonnes,M - Monitoring or Direct Measurement,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,7782-50-5,Chlorine,tonnes,M - Monitoring or Direct Measurement,,,,,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,NA - 09,Manganese (and its compounds),tonnes,M - Monitoring or Direct Measurement,,,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,9.07,,,,
2000,1,440,Alberta-Pacific Forest Industries Inc.,Unknown,322112,Chemical pulp mills,AB,County of Athabasca,54.923116,-112.861867,NA - 14,Zinc (and its compounds),tonnes,M - Monitoring or Direct Measurement,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,27.38,,,,
